specimen_id,thickness_mm_r_1,thickness_mm_r_2,thickness_mm_r_3,thickness_mm_r_4,thickness_mm_r_5,thickness_mm_r_6,thickness_mm_r_7,thickness_mm_r_8,thickness_mm_r_9,thickness_mm_r_10
072523-BULL-004-B,0.2,0.1,0.3,0.1,0.1,0.1,0.1,0.2,0.1,0.1
072523-BULL-004-C,0.4,0.5,0.1,0.1,0.2,0.1,0.4,0.1,0.1,0.2
072523-BULL-005-A,0.5,0.3,0.2,0.3,0.4,0.4,0.3,0.5,0.2,0.2
072523-BULL-005-B,0.23,0.1,0.22,0.16,0.21,0.19,0.24,0.19,0.21,0.1
072523-BULL-005-C,0.24,0.1,0.1,0.25,0.2,0.1,0.1,0.2,0.2,0.1
072523-BULL-006-A,0.06,0.06,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2
072523-BULL-006-B,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
072523-BULL-006-C,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2
072523-BULL-006-D,0.16,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
072523-BULL-007-A,0.32,0.25,0.24,0.16,0.13,0.11,0.2,0.1,0.1,0.1
072523-BULL-007-B,0.22,0.19,0.17,0.074,0.2,0.2,0.2,0.2,0.2,0.2
072523-BULL-007-C,0.039,0.3,0.24,0.19,0.07,0.01,0.01,0.01,0.01,0.01
072523-BULL-008-A,0.46,0.17,0.13,0.17,0.2,0.1,0.1,0.1,0.1,0.1
072523-BULL-008-B,0.17,0.14,0.07,0.113,0.17,0.17,0.17,0.17,0.17,0.17
072523-BULL-008-C,0.9,0.9,0.6,0.1,0.6,0.6,0.6,0.6,0.6,0.6
072523-BULL-009-A,0.544,0.276,0.197,0.199,0.104,0.165,0.074,0.192,0.113,0.124
072523-BULL-009-B,0.225,0.124,0.103,0.508,0.237,0.068,0.182,0.128,0.087,0.185
072523-BULL-009-C,0.249,0.17,0.106,0.121,0.116,0.057,0.103,0.267,0.14,0.415
072523-BULL-010-A,0.312,0.112,0.063,0.307,0.151,0.137,0.08,0.161,0.137,0.17
072523-BULL-010-B,0.145,0.11,0.106,0.339,0.314,0.063,0.087,0.141,0.045,0.158
072523-BULL-010-C,0.265,0.184,0.178,0.116,0.12,0.114,0.111,0.79,0.066,0.066
072523-BULL-011-A,0.528,0.219,0.136,0.116,0.095,0.116,0.227,0.112,0.116,0.056
072523-BULL-011-B,0.241,0.089,0.134,0.101,0.094,0.318,0.099,0.101,0.068,0.217
072523-BULL-011-C,0.62,0.409,0.297,0.094,0.079,0.056,0.074,0.083,0.6,0.349
072523-BULL-012-A,0.169,0.182,0.154,0.136,0.079,0.139,0.08,0.089,0.111,0.189
072523-BULL-012-B,0.182,0.137,0.131,0.099,0.088,0.22,0.149,0.13,0.109,0.088
072523-BULL-012-C,0.379,0.468,0.122,0.082,0.141,0.178,0.145,0.072,0.201,0.208
072523-BULL-016-A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
072523-BULL-016-B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
072523-BULL-016-C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
